Ticker,Name,Currency,Market cap (m),Price,Change,Change %
MCRO,MICRO FOCUS INTERNATIONAL PLC ORD 10P,GBX,"1,646.91",517.4,25.7,5.23%
SPT,SPIRENT COMMUNICATIONS PLC ORD 3 1/3P,GBX,"1,428.42",245.5,12,5.14%
COA,COATS GROUP PLC ORD 5P,GBX,935.14,66.9,2.5,3.88%
NETW,NETWORK INTERNATIONAL HOLDINGS PLC ORD 10P,GBX,"1,864.50",350.2,11.2,3.30%
MGAM,MORGAN ADVANCED MATERIALS PLC ORD 25P,GBX,863.24,312,9.5,3.14%
CKN,CLARKSON PLC ORD 25P,GBX,779.85,"2,645.00",80,3.12%
BWY,BELLWAY PLC ORD 12.5P,GBX,"3,737.48","3,122.00",92,3.04%
RMG,ROYAL MAIL PLC ORD 1P,GBX,"4,166.00",429,12.4,2.98%
ECM,ELECTROCOMPONENTS PLC ORD 10P,GBX,"4,431.24",971,28,2.97%
GNC,GREENCORE GROUP PLC ORD 1P,GBX,648.67,126.8,3.6,2.92%
CAPC,CAPITAL & COUNTIES PROPERTIES PLC ORD 25P,GBX,"1,303.87",157.3,4.1,2.68%
BCPT,BMO COMMERCIAL PROPERTY TRUST LD ORD 1P,GBX,601.12,77.2,2,2.66%
JUST,JUST GROUP PLC ORD 10P,GBX,871.04,86.35,2.2,2.61%
GFTU,GRAFTON GROUP PLC UT (1 ORD 1 C ORD & 17 A ORD),GBX,"2,195.28",942,24,2.61%
BAB,BABCOCK INTERNATIONAL GROUP PLC ORD 60P,GBX,"1,188.15",241,6,2.55%
CRST,CREST NICHOLSON HOLDINGS PLC ORD 5P,GBX,829.85,331,8,2.48%
TW.,TAYLOR WIMPEY PLC ORD 1P,GBX,"5,896.73",165.4,3.65,2.26%
ENOG,ENERGEAN PLC ORD 1P,GBX,"1,506.68",869.8,19,2.23%
PFC,PETROFAC LD ORD USD0.02,GBX,410.77,121.4,2.65,2.23%
HAS,HAYS PLC ORD 1P,GBX,"2,425.80",147.9,3.2,2.21%
Code,Name,Currency,Market cap (m),Price,Change,Change %
MGGT,MEGGITT PLC ORD 5P,GBX,"3,353.20",438,8.8,2.05%
TPK,TRAVIS PERKINS PLC ORD 10P,GBX,"3,634.65","1,469.00",27.5,1.91%
PFC,PETROFAC LD ORD USD0.02,GBX,410.77,121,2.25,1.90%
MAB,MITCHELLS & BUTLERS PLC ORD 8 13/24P,GBX,"1,476.46",350.5,6.5,1.89%
SRP,SERCO GROUP PLC ORD 2P,GBX,"1,441.16",120.2,2.2,1.86%
CRH,CRH PLC ORD EUR 0.32,GBX,"24,580.42","3,189.00",58,1.85%
BEZ,BEAZLEY PLC ORD 5P,GBX,"2,192.19",366.6,6.6,1.83%
VTY,VISTRY GROUP PLC ORD 50P,GBX,"2,018.08",924.5,16.5,1.82%
PRU,PRUDENTIAL PLC ORD 5P,GBX,"32,384.12","1,263.50",22.5,1.81%
CSP,COUNTRYSIDE PROPERTIES PLC ORD 1P,GBX,"2,437.42",473,8.4,1.81%
ASHM,ASHMORE GROUP PLC ORD 0.01P,GBX,"3,318.52",474,8.4,1.80%
HGT,HG CAPITAL TRUST PLC ORD 2.5P,GBX,"1,389.44",340,6,1.80%
GYS,GAMESYS GROUP PLC ORD GBP0.10,GBX,"1,475.90","1,372.00",22,1.63%
FCSS,FIDELITY CHINA SPEC. SITUATION PLC ORD 1P,GBX,"2,391.75",471.5,7.5,1.62%
BKG,BERKELEY GROUP HOLDINGS (THE) PLC ORD SHS 5P,GBX,"5,343.85","4,375.00",69,1.60%
IMB,IMPERIAL BRANDS PLC ORD 10P,GBX,"13,656.67","1,466.00",23,1.59%
BATS,BRITISH AMERICAN TOBACCO PLC ORD 25P,GBX,"61,841.38","2,738.00",42.5,1.58%
TATE,TATE & LYLE PLC ORD 25P,GBX,"3,377.32",732,11,1.53%
RDW,REDROW PLC ORD 10.5P,GBX,"1,972.27",568.5,8.5,1.52%
DPH,DECHRA PHARMACEUTICALS PLC ORD 1P,GBX,"3,997.33","3,752.00",56,1.52%
Code,Name,Currency,Market cap (m),Price,Change,Change %
DPH,DECHRA PHARMACEUTICALS PLC ORD 1P,GBX,"3,997.33","3,752.00",56,1.52%
BATS,BRITISH AMERICAN TOBACCO PLC ORD 25P,GBX,"61,841.38","2,736.00",40.5,1.50%
IMB,IMPERIAL BRANDS PLC ORD 10P,GBX,"13,656.67","1,464.50",21.5,1.49%
DGE,DIAGEO PLC ORD 28 101/108P,GBX,"69,501.09","3,014.50",44,1.48%
N91,NINETY ONE PLC ORD Â£0.0001,GBX,"1,437.02",234.2,3.4,1.47%
EMG,MAN GROUP PLC ORD USD0.0342857142,GBX,"2,178.83",151.95,2.15,1.44%
PIN,PANTHEON INTERNATIONAL PLC ORD 67P,GBX,"1,336.01","2,505.00",35,1.42%
LRE,LANCASHIRE HOLDINGS LD COM SHS USD0.50,GBX,"1,811.77",753,10.5,1.41%
ICP,INTERMEDIATE CAPITAL GROUP PLC ORD 26 1/4P,GBX,"5,230.60","1,803.00",25,1.41%
CPG,COMPASS GROUP PLC ORD 11 1/20P,GBX,"26,026.85","1,479.50",20.5,1.41%
PAGE,PAGEGROUP PLC ORD 1P,GBX,"1,518.22",468.4,6.4,1.39%
PZC,PZ CUSSONS PLC ORD 1P,GBX,"1,136.12",268.5,3.5,1.32%
VSVS,VESUVIUS PLC ORD 10P,GBX,"1,353.36",505.5,6.5,1.30%
BA.,BAE SYSTEMS PLC ORD 2.5P,GBX,"15,214.66",478.7,6.1,1.29%
VMUK,VIRGIN MONEY UK PLC ORD GBP0.10,GBX,"2,337.27",164.5,2.05,1.26%
UTG,UNITE GROUP PLC ORD 25P,GBX,"3,894.41",990,12,1.23%
JUP,JUPITER FUND MANAGEMENT PLC ORD 2P,GBX,"1,623.79",297.2,3.6,1.23%
IBST,IBSTOCK PLC ORD 1P,GBX,884.65,218.6,2.6,1.20%
VEIL,VIETNAM ENTERPRISE INVESTMENTS LIMI ORD USD0.01 (DI),GBX,"1,308.12",610,7,1.16%
PSN,PERSIMMON PLC ORD 10P,GBX,"8,825.68","2,797.00",31,1.12%
ERM,EUROMONEY INSTITUTIONAL INVEST.PLC ORD 0.25P,GBX,"1,091.80","1,010.00",11,1.10%
DIGS,GCP STUDENT LIVING PLC ORD 1P,GBX,670.7,149,1.6,1.09%
HILS,HILL & SMITH HLDGS PLC ORD 25P,GBX,"1,063.76","1,350.00",14,1.05%
FXPO,FERREXPO PLC ORD 10P,GBX,"1,801.19",309.2,3.2,1.05%
GNS,GENUS PLC ORD 10P,GBX,"3,487.09","5,395.00",55,1.03%
FRES,FRESNILLO PLC ORD USD0.50,GBX,"7,549.47","1,035.00",10.5,1.03%
HSX,HISCOX LD ORD 6.5P (DI),GBX,"3,297.33",961.2,9.4,0.99%
PSH,PERSHING SQUARE HOLDINGS LTD ORD NPV,GBX,"4,929.74","2,580.00",25,0.98%
